ticker,year,month,ret_monthly,n_days,first_close,last_close
آپ,2022,1,-0.27336683,23,9207.56,7022.22
آپ,2022,2,-0.12033195,17,6866.82,6177.23
آپ,2022,3,0.0754717,17,5973.26,6643.43
آپ,2022,4,0.08040936,19,6925.1,7177.62
آپ,2022,5,-0.08525034,21,7255.33,6565.73
آپ,2022,6,0.02514793,19,6866.82,6730.84
آپ,2022,7,-0.10964445,17,6585.16,5992.84
آپ,2022,8,0.11382114,19,6119.52,6674.96
آپ,2022,9,-0.04817518,17,6597.0,6353.39
آپ,2022,10,-0.09355828,22,6226.71,5758.98
آپ,2022,11,0.14213198,22,5778.47,6577.51
آپ,2022,12,0.07851852,20,6538.53,7093.97
آپ,2023,1,-0.03021978,22,6811.38,6879.59
آپ,2023,2,-0.0509915,17,6684.7,6528.79
آپ,2023,3,0.20895522,17,6558.02,7893.01
آپ,2023,4,0.30246914,17,7941.74,10280.41
آپ,2023,5,-0.06161137,22,10991.75,9647.02
آپ,2023,6,-0.00909091,18,9802.93,9559.32
آپ,2023,7,-0.24188124,19,9471.62,7247.1
آپ,2023,8,-0.02291105,21,7276.4,7081.06
آپ,2023,9,-0.05517241,18,7081.06,6690.38
آپ,2023,10,-0.09927007,22,6582.94,6026.23
آپ,2023,11,0.06969206,21,5899.26,6446.21
آپ,2023,12,0.05757576,21,6602.48,6817.35
آپ,2024,1,-0.03151862,23,6690.38,6602.48
آپ,2024,2,-0.02810651,18,6582.94,6416.91
آپ,2024,3,0.09589041,18,6534.11,7032.22
آپ,2024,4,-0.11666667,20,6807.58,6211.8
آپ,2024,5,-0.31785517,10,6182.5,3685.08
آپ,2024,6,-0.1335807,18,3627.46,3192.83
آپ,2024,7,0.0731264,16,3185.01,3426.31
آپ,2024,8,-0.04138735,19,3491.22,3284.5
آپ,2024,9,0.24323503,19,3344.42,4083.4
آپ,2024,10,0.09708975,22,4123.35,4479.86
آپ,2024,11,0.42173453,21,4494.84,6770.72
آپ,2024,12,0.29646018,23,6840.63,8777.97
آپ,2025,1,-0.03754266,19,8528.31,8448.42
آپ,2025,2,0.02718676,15,8448.42,8678.11
آپ,2025,3,-0.01495972,16,8678.11,8548.29
آپ,2025,4,0.4521028,20,8588.23,12412.99
آپ,2025,5,0.14641995,21,12762.51,14230.5
آپ,2025,6,-0.04982456,11,14240.49,13521.47
آپ,2025,7,-0.04077484,16,13122.02,12970.14
آپ,2025,8,0.01309707,21,12900.19,13140.01
آپ,2025,9,-0.08745247,20,13140.01,11990.88
آپ,2025,10,-0.035,21,11990.88,11571.2
آپ,2025,11,-0.0224525,19,11491.26,11311.4
آپ,2025,12,0.04681979,23,11281.42,11841.0
آپ,2026,1,-0.13839662,19,11591.19,10202.24
آپ,2026,2,-0.09696376,12,10272.19,9212.99
آپ,2026,5,0.20047838,7,9430.0,11060.0
آپ,2026,6,-0.04339964,21,10850.0,10580.0
آپ,2026,7,-0.00378072,11,10640.0,10540.0
اخابر,2008,8,0.14466667,16,146.56,167.77
اخابر,2008,9,0.19976703,21,172.46,201.28
اخابر,2008,10,-0.14854369,19,195.42,171.38
اخابر,2008,11,-0.04618016,12,166.89,163.47
اخابر,2009,3,-0.11730395,8,147.79,144.29
